sim;PR2;PR5;PR10;PR20;TR;PHI;Temp;BGF;Inv;Maint;UNA;GA;CO2;TSS;TP;TN;Cu;Pb;Zn
sim113;0.29;0.2;0.2;0.28;0.36;0.32;0.0008;0.08;89593.96553;1624.204759;51.67167742;93.78363648;233.9413843;0.9;0.85;0.88;0.88;0.9;0.9
sim114;0.33;0.25;0.26;0.27;0.57;0.55;0.0023;0.38;3274923.303;191955.8911;75.63449984;2484.785151;1819.687124;0.4;0.39;0.38;0.38;0.4;0.4
sim115;0.24;0.21;0.2;0.22;0.5;0.46;0.0027;0.5;2745267.593;158879.4235;85.733753;2089.565955;4062.531711;0.92;0.89;0.89;0.9;0.92;0.92
sim116;0.24;0.19;0.21;0.23;0.53;0.48;0.0016;0.3;2170195.781;120468.2301;79.76164063;1559.297904;1196.03422;0.53;0.45;0.48;0.48;0.53;0.53
sim117;0.41;0.35;0.37;0.39;0.43;0.43;0.0023;0.6;3378850.952;194600.7108;92.5941454;2519.388381;4899.345294;0.77;0.74;0.75;0.75;0.77;0.77
sim118;0.52;0.42;0.42;0.47;0.59;0.54;0.0023;0.55;3238276.985;192458.1106;43.93455616;2432.00477;4874.466972;0.97;0.95;0.95;0.95;0.97;0.97
sim119;0.43;0.34;0.36;0.41;0.42;0.39;0.0016;0.23;1946245.251;114867.7419;62.9257972;1522.684741;1138.219883;-0.34;-0.36;-0.36;-0.36;-0.34;-0.34
sim120;0.48;0.34;0.32;0.37;0.4;0.36;0.0016;0.25;1460361.696;79280.26813;90.14852735;1101.240633;910.1982588;0.7;0.53;0.6;0.62;0.7;0.7
sim121;0.46;0.36;0.39;0.39;0.61;0.55;0.0023;0.38;3321510.65;192621.1091;91.13463303;2508.616062;1740.232486;0.1;0.1;0.08;0.09;0.11;0.11
sim122;0.29;0.25;0.25;0.27;0.16;0.13;0.0016;0.26;1230885.547;74162.84955;46.0716141;1013.610035;2085.561367;0.6;0.6;0.6;0.6;0.6;0.6
sim123;0.37;0.35;0.35;0.36;0.27;0.27;0.0027;0.5;2665744.384;156915.1714;51.87872637;2019.96991;4068.647099;0.86;0.84;0.84;0.84;0.86;0.86
sim124;0.41;0.31;0.32;0.33;0.6;0.54;0.002;0.4;2122849.938;118246.7611;83.50307924;1555.926692;2990.671711;0.72;0.55;0.62;0.64;0.72;0.72
sim125;0.32;0.18;0.17;0.25;0.44;0.41;0.0008;0.17;928812.1181;45779.7523;61.99973558;604.8069464;547.8910752;0.62;0.53;0.57;0.57;0.62;0.62
sim126;0.24;0.18;0.2;0.2;0.55;0.52;0.0016;0.34;2003747.422;117381.9512;53.04024283;1537.40269;2921.848683;0.07;0.02;0.04;0.04;0.07;0.07
sim127;0.33;0.27;0.28;0.3;0.11;0.11;0.0012;0.16;845596.5423;43080.97268;82.23108774;650.5701025;1052.443865;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
sim128;0.27;0.21;0.2;0.24;0.33;0.32;0.0023;0.44;3957573.856;233058.6276;72.41053699;2979.408196;2108.286721;0.6;0.56;0.54;0.55;0.6;0.6
sim129;0.3;0.21;0.25;0.27;0.55;0.52;0.0012;0.14;790628.589;42716.6251;65.57687776;620.1613718;606.6114098;0.66;0.51;0.58;0.59;0.66;0.66
sim130;0.24;0.15;0.15;0.19;0.51;0.41;0.0031;0.39;3122596.431;189223.8169;85.25781423;2512.040821;2022.017296;0.94;0.95;0.93;0.93;0.95;0.95
sim131;0.1;0.07;0.09;0.08;0.46;0.43;0.0016;0.22;1277323.078;74795.7322;46.27912;996.6035156;1905.639541;0.21;0.21;0.21;0.21;0.21;0.21
sim132;0.4;0.36;0.36;0.4;0.39;0.38;0.0012;0.17;1287567.165;75060.06256;51.59818287;1011.296862;767.5941222;0.81;0.8;0.8;0.8;0.81;0.81
sim133;-0.02;-0.02;-0.01;-0.02;0.22;0.21;0.0012;0.14;826641.7921;42821.85143;83.84515318;658.230033;464.2358841;0.32;0.32;0.32;0.32;0.32;0.32
sim134;0.44;0.38;0.34;0.41;0.16;0.16;0.0016;0.34;2271971.212;122190.2024;111.1949939;1615.500627;1246.272401;0.84;0.79;0.8;0.81;0.84;0.85
sim135;0.81;0.72;0.71;0.69;0.5;0.48;0.0016;0.44;2522703.254;150635.8197;42.57316567;1935.614843;3856.03486;0.68;0.59;0.63;0.63;0.68;0.68
sim136;0.24;0.22;0.25;0.23;0.38;0.36;0.002;0.27;2008816.023;116634.4161;71.36575422;1559.976074;1201.941738;0.77;0.76;0.76;0.76;0.77;0.77
sim137;0.46;0.45;0.42;0.44;0.46;0.43;0.0016;0.24;2031220.539;116068.5739;77.85322932;1549.939293;1034.066157;0.8;0.78;0.78;0.78;0.8;0.8
sim138;0.51;0.44;0.44;0.46;0.49;0.46;0.0016;0.42;2173723.671;120075.9735;83.30271838;1566.039706;3058.601751;-0.37;-0.51;-0.45;-0.44;-0.37;-0.37
sim139;0.37;0.34;0.35;0.37;0.33;0.3;0.0027;0.47;3970862.565;233380.5302;89.61920255;3009.352327;2225.149477;0.73;0.72;0.69;0.69;0.74;0.73
sim140;0.81;0.7;0.68;0.67;0.46;0.41;0.0023;0.32;2674869.463;156584.2558;91.03944112;2071.98862;1548.998341;0.87;0.87;0.85;0.85;0.87;0.87
sim141;0.1;0.08;0.09;0.1;0.36;0.34;0.002;0.26;2038916.664;116549.0978;82.01631637;1553.223516;1187.45698;0.95;0.94;0.94;0.94;0.95;0.95
